 type   sat      day     hms     lat     lon     pre   spd   dir   rff    qi
IR     GOES12  20080827  2255   12.15    80.08   137   13.1   73  56.53  0.81
IR     GOES12  20080827  2255   12.07    79.53   212   16.3   67  60.00  0.90
IR     GOES12  20080827  2255   11.92    79.00   162   16.3   70  68.30  1.00
IR     GOES12  20080827  2255   11.85    78.74   187   16.2   70  72.07  1.00
IR     GOES12  20080827  2255   12.15    78.45   175   15.2   62  71.33  1.00
IR     GOES12  20080827  2255   11.96    77.87   200   13.1   54  65.02  0.97
IR     GOES12  20080827  2255   11.96    77.81   200   14.1   56  70.12  0.99
IR     GOES12  20080827  2255   12.11    77.50   225   15.5   57  63.69  0.92
IR     GOES12  20080827  2255   11.96    76.52   175   13.7   61  73.64  0.91
IR     GOES12  20080827  2255   12.14    75.25   162    8.5   84  57.23  0.66
IR     GOES12  20080827  2255   12.14    74.89   162    9.5   78  63.85  0.98
IR     GOES12  20080827  2255   11.84    74.45   200   16.2   72  52.87  0.74
IR     GOES12  20080827  2255   11.84    74.16   162   11.5   80  66.70  0.71
IR     GOES12  20080827  2255   11.77    72.53   237    3.8  134  61.54  0.75
IR     GOES12  20080827  2255   12.19    70.64   250    4.7  130  61.17  0.58
IR     GOES12  20080827  2255   12.11    69.92   150   10.9   69  68.43  0.80
IR     GOES12  20080827  2255   12.19    69.42   175   12.7   77  54.67  0.86
IR     GOES12  20080827  2255   11.78    69.05   175   15.4   26  48.06  0.99
IR     GOES12  20080827  2255   11.75    66.42   150   15.2   30  76.02  0.94
IR     GOES12  20080827  2255   11.84    64.17   212   19.2   39  50.09  0.93
IR     GOES12  20080827  2255   11.92    63.74   162   20.0   41  60.13  0.95
IR     GOES12  20080827  2255   11.96    63.27   162   17.6   44  71.65  0.99
IR     GOES12  20080827  2255   12.12    62.85   162   15.5   50  76.49  0.97
IR     GOES12  20080827  2255   12.08    62.55   162   11.9   60  55.42  0.95
IR     GOES12  20080827  2255   12.08    62.24   162   16.9   46  71.17  1.00
IR     GOES12  20080827  2255   12.24    61.94   162   14.6   54  70.66  0.98
IR     GOES12  20080827  2255   12.02    61.27   312    7.6   35  77.25  0.59
IR     GOES12  20080827  2255   11.76    60.65   187   14.0   44  75.93  1.00
IR     GOES12  20080827  2255   12.29    60.05   162   15.0   40  73.25  0.88
IR     GOES12  20080827  2255   11.64    88.95   262    6.0   95  54.86  0.88
IR     GOES12  20080827  2255   11.45    88.71   312    8.5   93  70.93  0.59
IR     GOES12  20080827  2255   11.63    87.98   212   17.4   75  68.74  0.97
IR     GOES12  20080827  2255   11.63    87.76   212   16.5   81  66.83  0.85
IR     GOES12  20080827  2255   11.21    86.82   162   15.4   82  72.67  0.99
IR     GOES12  20080827  2255   11.32    78.88   200   20.1   69  56.83  0.96
IR     GOES12  20080827  2255   11.58    78.12   187   17.8   67  67.40  1.00
IR     GOES12  20080827  2255   11.58    77.79   175   18.7   66  62.66  1.00
IR     GOES12  20080827  2255   11.17    76.64   187   16.5   97  47.62  0.96
IR     GOES12  20080827  2255   11.36    76.01   162    7.8   89  48.98  0.69
IR     GOES12  20080827  2255   11.39    75.95   162    7.3   89  48.38  0.84
IR     GOES12  20080827  2255   11.13    75.25   137   12.8   65  63.44  0.63
IR     GOES12  20080827  2255   11.51    71.75   212    6.1   73  72.68  0.81
IR     GOES12  20080827  2255   11.48    69.31   150   14.6   35  55.92  0.78
IR     GOES12  20080827  2255   11.63    69.03   162   14.8   29  52.40  0.98
IR     GOES12  20080827  2255   11.48    68.53   162   14.8   29  55.01  0.99
IR     GOES12  20080827  2255   11.30    68.28   137   15.9   30  56.85  0.99
IR     GOES12  20080827  2255   11.45    67.65   137   16.9   20  51.82  1.00
IR     GOES12  20080827  2255   11.64    67.56   137   16.6   18  52.21  0.99
IR     GOES12  20080827  2255   11.65    64.44   162   17.4   34  64.75  0.92
IR     GOES12  20080827  2255   11.62    63.42   162   18.0   44  68.26  0.83
IR     GOES12  20080827  2255   11.72    60.69   187   13.9   42  72.28  1.00
IR     GOES12  20080827  2255   11.72    60.47   187   14.4   46  77.36  1.00
IR     GOES12  20080827  2255   11.00    88.64   300   11.2   95  79.51  0.82
IR     GOES12  20080827  2255   11.00    88.62   300   11.5   95  77.57  0.85
IR     GOES12  20080827  2255   10.95    77.86   187   18.2   65  67.49  1.00
IR     GOES12  20080827  2255   10.78    66.14   150   14.6   50  64.79  0.80
IR     GOES12  20080827  2255   11.01    64.84   200   16.7   44  61.36  0.96
IR     GOES12  20080827  2255   10.39    87.41   262    9.7   89  61.81  0.80
IR     GOES12  20080827  2255   10.43    77.73   200   17.5   75  70.03  0.91
IR     GOES12  20080827  2255   10.35    75.52   187   22.2   66  48.00  0.68
IR     GOES12  20080827  2255   10.13    74.94   137   20.3   68  53.37  0.92
IR     GOES12  20080827  2255   10.52    66.94   200   11.7   95  52.67  0.89
IR     GOES12  20080827  2255   10.11    66.52   200   11.7   81  62.80  0.86
IR     GOES12  20080827  2255   10.49    64.75   300   11.9   55  63.23  0.60
IR     GOES12  20080827  2255   10.16    64.18   187    8.8   65  53.56  0.65
IR     GOES12  20080827  2255   10.51    62.08   375    5.1   57  58.39  0.79
