 type   sat      day     hms     lat     lon     pre   spd   dir
IR     GOES12  20050825  2245   13.50    76.57   175   15.5   54
IR     GOES12  20050825  2245   13.84    75.53   137    9.6   65
IR     GOES12  20050825  2245   13.73    75.15   162   15.5   47
IR     GOES12  20050825  2245   13.61    75.04   187   15.3   44
IR     GOES12  20050825  2245   13.46    74.49   162    8.6   46
IR     GOES12  20050825  2245   13.50    74.17   162   11.7   60
IR     GOES12  20050825  2245   13.50    74.06   162   12.2   60
IR     GOES12  20050825  2245   13.88    73.74   162    9.9   72
IR     GOES12  20050825  2245   13.81    73.06   150   14.6   52
IR     GOES12  20050825  2245   13.62    72.68   187   14.2   52
IR     GOES12  20050825  2245   13.69    72.63   187   14.8   50
IR     GOES12  20050825  2245   13.43    72.23   187   12.7   55
IR     GOES12  20050825  2245   13.73    71.95   250   11.0   63
IR     GOES12  20050825  2245   13.70    70.93   212   15.7   50
IR     GOES12  20050825  2245   13.73    70.88   200   15.9   51
IR     GOES12  20050825  2245   13.74    70.22   212   18.7   52
IR     GOES12  20050825  2245   13.89    69.53   175   19.4   48
IR     GOES12  20050825  2245   13.49    66.76   187   16.6   53
IR     GOES12  20050825  2245   13.37    91.08   812   12.0   91
IR     GOES12  20050825  2245   13.00    88.44   175   14.4   76
IR     GOES12  20050825  2245   12.99    87.93   175   15.4   80
IR     GOES12  20050825  2245   12.99    87.90   162   15.4   80
IR     GOES12  20050825  2245   13.22    82.28   187    6.1  100
IR     GOES12  20050825  2245   13.29    82.04   250   12.8  117
IR     GOES12  20050825  2245   12.95    81.47   275   15.8   95
IR     GOES12  20050825  2245   12.95    81.45   275   16.2   95
IR     GOES12  20050825  2245   13.05    77.48   162   12.4   43
IR     GOES12  20050825  2245   13.28    77.06   137   16.9   55
IR     GOES12  20050825  2245   13.27    76.57   212   15.7   51
IR     GOES12  20050825  2245   13.24    76.51   225   15.5   50
IR     GOES12  20050825  2245   13.12    75.81   162   15.5   55
IR     GOES12  20050825  2245   13.24    75.57   137   14.3   52
IR     GOES12  20050825  2245   13.27    74.81   162   13.7   49
IR     GOES12  20050825  2245   13.27    74.77   162   13.0   46
IR     GOES12  20050825  2245   13.24    74.15   162   13.2   64
IR     GOES12  20050825  2245   13.27    73.60   137   14.0   50
IR     GOES12  20050825  2245   13.31    72.60   162   13.9   54
IR     GOES12  20050825  2245   13.35    72.13   187   12.7   56
IR     GOES12  20050825  2245   13.29    67.64   237    8.5   87
IR     GOES12  20050825  2245   13.29    67.48   225    9.2   86
IR     GOES12  20050825  2245   12.96    66.79   137   18.3   52
IR     GOES12  20050825  2245   12.54    91.81   812    9.7   87
IR     GOES12  20050825  2245   12.62    88.12   225   12.5   71
IR     GOES12  20050825  2245   12.61    81.65   262   13.8   95
IR     GOES12  20050825  2245   12.53    81.46   325   12.6  101
IR     GOES12  20050825  2245   12.38    81.18   300   13.8  101
IR     GOES12  20050825  2245   12.46    80.86   250    7.1  117
IR     GOES12  20050825  2245   12.26    79.07   275    9.3  120
IR     GOES12  20050825  2245   12.33    77.29   150   12.0   29
IR     GOES12  20050825  2245   12.37    76.95   150   14.3   24
IR     GOES12  20050825  2245   12.71    75.64   162   16.2   55
IR     GOES12  20050825  2245   12.60    70.22   300    8.4  120
IR     GOES12  20050825  2245   12.38    69.42   287    7.7  120
IR     GOES12  20050825  2245   12.38    69.40   287    8.0  119
IR     GOES12  20050825  2245   12.81    66.64   137   16.4   53
IR     GOES12  20050825  2245   12.77    66.41   150   19.4   59
IR     GOES12  20050825  2245   11.91    93.15   175   11.5  102
IR     GOES12  20050825  2245   12.21    92.85   225   12.9   99
IR     GOES12  20050825  2245   12.24    92.54   225   14.3   90
IR     GOES12  20050825  2245   12.28    92.04   212   12.8   91
IR     GOES12  20050825  2245   12.23    91.76   187   11.8   87
IR     GOES12  20050825  2245   12.12    87.35   187   13.1   74
IR     GOES12  20050825  2245   11.74    87.15   225   19.3   70
IR     GOES12  20050825  2245   11.82    81.97   262   11.7  103
IR     GOES12  20050825  2245   12.04    81.47   300    8.4  104
IR     GOES12  20050825  2245   12.01    81.32   300    8.7   96
IR     GOES12  20050825  2245   12.22    79.07   275    9.2  119
IR     GOES12  20050825  2245   12.14    77.07   150   12.4   42
IR     GOES12  20050825  2245   12.11    77.03   150   12.8   32
IR     GOES12  20050825  2245   11.81    74.03   137   11.7  101
IR     GOES12  20050825  2245   11.88    73.75   137   17.6   86
IR     GOES12  20050825  2245   12.24    67.65   187   14.3   73
IR     GOES12  20050825  2245   12.02    66.46   137   17.5   57
IR     GOES12  20050825  2245   11.72    65.09   250    7.9   70
IR     GOES12  20050825  2245   11.28    94.64   287   13.0   68
IR     GOES12  20050825  2245   11.28    94.52   250   12.9   68
IR     GOES12  20050825  2245   11.68    93.17   175   11.6  106
IR     GOES12  20050825  2245   11.68    93.06   175   12.3  105
IR     GOES12  20050825  2245   11.41    92.22   237   13.2  105
IR     GOES12  20050825  2245   11.52    91.98   212   13.5  103
IR     GOES12  20050825  2245   11.48    87.11   237   19.1   64
