id	description	group	bufrtype	subtype	obstype	codetype	sensor	satellite_instrument	satellite_identifier
31008	NOAA 14 SSU Radiances	SSU	Satellite Sounding	ATOVS	SATEM	Radiances	SSU	SSU	NOAA 14
5032	NOAA 14 SBUV-2 MACC O3	RESAT	Satellite Sounding	Retrieved O3 Layers for MACC ozone observation operator	SATEM	Retrieved Atmospheric Constituents	SBUV-2	SBUV/2	NOAA 14
31015	NOAA 14 SSU TOVS1B Radiances	SSU	Satellite Sounding	TOVS1B	SATEM	Radiances	SSU	SSU	NOAA 14
30016	NOAA 14 MSU TOVS1B Radiances	MSU	Satellite Sounding	TOVS1B	SATEM	Radiances	MSU	MSU	NOAA 14
10	NOAA 15 HIRS Radiances	HIRS	Satellite Sounding	ATOVS	SATEM	Radiances	HIRS	HIRS/3	NOAA 15
1001	NOAA 15 AMSUA Radiances	AMSUA	Satellite Sounding	ATOVS	SATEM	Radiances	AMSUA	AMSU-A	NOAA 15
2001	NOAA 15 AMSUB Radiances	AMSUB	Satellite Sounding	ATOVS	SATEM	Radiances	AMSUB	AMSU-B	NOAA 15
21001	NOAA 15 AMSUA Radiances All-sky	AMSUA All-sky	Satellite Sounding	ATOVS	ALLSKY	SSMI/TRMM	AMSUA	AMSU-A	NOAA 15
43001	AMSUB NOAA 15 AMSUB Radiances All-sky	AMSUB All-sky	Satellite Sounding	ATOVS	ALLSKY	SSMI/TRMM	AMSUB	AMSU-B	NOAA 15
11	NOAA 16 HIRS Radiances	HIRS	Satellite Sounding	ATOVS	SATEM	Radiances	HIRS	HIRS/3	NOAA 16
1002	NOAA 16 AMSUA Radiances	AMSUA	Satellite Sounding	ATOVS	SATEM	Radiances	AMSUA	AMSU-A	NOAA 16
2002	NOAA 16 AMSUB Radiances	AMSUB	Satellite Sounding	ATOVS	SATEM	Radiances	AMSUB	AMSU-B	NOAA 16
5009	NOAA 16 SBUV-2 O3	RESAT	Satellite Sounding	Retrieved O3 Layers	SATEM	Retrieved Atmospheric Constituents	SBUV-2	SBUV/2	NOAA 16
21002	NOAA 16 AMSUA Radiances All-sky	AMSUA All-sky	Satellite Sounding	ATOVS	ALLSKY	SSMI/TRMM	AMSUA	AMSU-A	NOAA 16
5033	NOAA 16 SBUV-2 MACC O3	RESAT	Satellite Sounding	Retrieved O3 Layers for MACC ozone observation operator	SATEM	Retrieved Atmospheric Constituents	SBUV-2	SBUV/2	NOAA 16
43002	AMSUB NOAA 16 AMSUB Radiances All-sky	AMSUB All-sky	Satellite Sounding	ATOVS	ALLSKY	SSMI/TRMM	AMSUB	AMSU-B	NOAA 16
12	NOAA 17 HIRS Radiances	HIRS	Satellite Sounding	ATOVS	SATEM	Radiances	HIRS	HIRS/3	NOAA 17
1003	NOAA 17 AMSUA Radiances	AMSUA	Satellite Sounding	ATOVS	SATEM	Radiances	AMSUA	AMSU-A	NOAA 17
2003	NOAA 17 AMSUB Radiances	AMSUB	Satellite Sounding	ATOVS	SATEM	Radiances	AMSUB	AMSU-B	NOAA 17
5010	NOAA 17 SBUV-2 O3	RESAT	Satellite Sounding	Retrieved O3 Layers	SATEM	Retrieved Atmospheric Constituents	SBUV-2	SBUV/2	NOAA 17
21003	NOAA 17 AMSUA Radiances All-sky	AMSUA All-sky	Satellite Sounding	ATOVS	ALLSKY	SSMI/TRMM	AMSUA	AMSU-A	NOAA 17
5034	NOAA 17 SBUV-2 MACC O3	RESAT	Satellite Sounding	Retrieved O3 Layers for MACC ozone observation operator	SATEM	Retrieved Atmospheric Constituents	SBUV-2	SBUV/2	NOAA 17
43003	AMSUB NOAA 17 AMSUB Radiances All-sky	AMSUB All-sky	Satellite Sounding	ATOVS	ALLSKY	SSMI/TRMM	AMSUB	AMSU-B	NOAA 17
13	NOAA 18 HIRS Radiances	HIRS	Satellite Sounding	ATOVS	SATEM	Radiances	HIRS	HIRS/4	NOAA 18
1004	NOAA 18 AMSUA Radiances	AMSUA	Satellite Sounding	ATOVS	SATEM	Radiances	AMSUA	AMSU-A	NOAA 18
2004	NOAA 18 AMSUB Radiances	AMSUB	Satellite Sounding	ATOVS	SATEM	Radiances	AMSUB	AMSU-B	NOAA 18
5011	NOAA 18 SBUV-2 O3	RESAT	Satellite Sounding	Retrieved O3 Layers	SATEM	Retrieved Atmospheric Constituents	SBUV-2	SBUV/2	NOAA 18
